唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
zhek201401007,10,"ISTIC,PKU",脓毒症患儿血浆微RNA表达及其与炎症细胞因子的相关性,10.3760/cma.j.issn.0578-1310.2014.01.007,武宇辉[1];李成荣[2];何颜霞[1];李秋[3];王国兵[2];温鹏强[2];杨卫国[1];杨燕澜[1];,"[1]518026,重庆医科大学深圳儿童医院PICU;[2]518026,重庆医科大学深圳儿童医院儿科研究所;[3]重庆医科大学附属儿童医院肾脏免疫科;",中华儿科杂志,儿童;脓毒症;血浆;微RNAs;,,2014,52,1
zgyszz201507020,2,"ISTIC,PKU",2009年至2013年深圳市先天性心脏病监测结果分析,10.3760/cma.j.issn.1008-1372.2015.07.020,赖彩芹[1];王晨虹[1];李胜利[2];赵光临[3];谷寅[4];,"[1]南方医科大学附属深圳妇幼保健院产科,深圳,518028;[2]南方医科大学附属深圳妇幼保健院超声科,深圳,518028;[3]南方医科大学附属深圳妇幼保健院信息科,深圳,518028;[4]南方医科大学附属深圳妇幼保健院麻醉科,深圳,518028;",中国医师杂志,心脏缺损;先天性/流行病学;,,2015,17,7
syeklczz201422013,1,"ISTIC,PKU",婴幼儿百日咳的临床特征,10.3760/cma.j.issn.2095-428X.2014.22.013,黄建琼[1];马卓娅[2];郑跃杰[2];刘恩梅[3];,"[1]400014 重庆医科大学附属儿童医院呼吸科;深圳儿童医院呼吸科;[2]深圳儿童医院呼吸科;[3]400014,重庆医科大学附属儿童医院呼吸科;",中华实用儿科临床杂志,百日咳;聚合酶链式反应;婴幼儿;,,2014,29,22
zgwstxzz201503027,4,"ISTIC,PKU",20例儿童难治性支原体肺炎临床分析,10.13381/j.cnki.cjm.201503027,付卓[1];郑跃杰[2];,"[1]遵义医学院附属深圳儿童医院,广东深圳518035;天津市儿童医院,天津300074;[2]遵义医学院附属深圳儿童医院,广东深圳,518035;",中国微生态学杂志,儿童;难治性支原体性肺炎;临床分析;,R72,2015,27,3
syyylczz201504010,4,"ISTIC,PKU",罗库溴铵应用于产科全麻快速诱导气管插管最佳剂量的研究,10.3969/j.issn.1672-6170.2015.04.010,陈岱莉[1];黄绍农[2];王亮[3];庄仁坤[4];,"[1]广州医科大学，广东 广州 510182; 南方医科大学附属深圳妇幼保健院麻醉科，广东 深圳 518028;[2]广东省深圳市第二人民医院麻醉科,广东 深圳,518028;[3]南方医科大学附属深圳妇幼保健院麻醉科,广东 深圳,518028;[4]南方医科大学附属深圳妇幼保健院超声科,广东 深圳,518028;",实用医院临床杂志,罗库溴铵;序贯法;半数有效剂量;产妇;非产妇;,R614.2,2015,,4
zhwcyxzz201507006,9,"ISTIC,PKU",子宫动脉下行支结扎加子宫下段压迫缩窄缝合术治疗凶险性前置胎盘所致产后出血,10.3760/cma.j.issn.1007-9408.2015.07.006,王洁[1];郭红霞[2];王晨虹[2];王忠[2];,"[1]518028 南方医科大学附属深圳妇幼保健院产科; 香港大学深圳医院产科;[2]518028,南方医科大学附属深圳妇幼保健院产科;",中华围产医学杂志,前置胎盘;产后出血;结扎术;缝合技术;子宫动脉;妇科外科手术;,,2015,,7
zhmzxzz98201602027,0,"ISTIC,PKU",白藜芦醇对肠缺血再灌注诱发大鼠肺损伤及肺组织肥大细胞活化的影响,10.3760/cma.j.issn.0254-1416.2016.02.027,黄晓雷[1];周晓云[2];杨剑愉[1];李保珍[3];李戈辉[1];徐阳[1];李元涛[1];王靖[4];赵伟成[4];,"[1]518028,南方医科大学附属深圳妇幼保健院麻醉科;[2]河北省医学情报研究所《中华麻醉学杂志》编辑部, 石家庄,050071;[3]518028,南方医科大学附属深圳妇幼保健院药剂科;[4]528000,佛山市第一人民医院麻醉科;",中华麻醉学杂志,"酚类;再灌注损伤;肠;呼吸窘迫综合征,成人;肥大细胞;",,2016,36,2
zgptwkzz201501028,4,"ISTIC,PKU",肝癌干细胞标志物研究的进展,10.3978/j.issn.1005-6947.2015.01.021,程康文[1];詹勇强[2];王成友[3];王贵和[1];,"[1]安徽省铜陵市人民医院普通外科,安徽铜陵,244000;[2]广东省深圳市第二人民医院肝胆外科,广东深圳,518039;[3]广东省深圳华侨医院普通外科,广东深圳,518111;",中国普通外科杂志,"癌,肝细胞;肿瘤干细胞;分子标志物;综述文献;",R735.7,2015,,1
cqyx201518001,0,"ISTIC,PKU",布比卡因对高糖培养S H-SY5Y 细胞毒性研究,10.3969/j.issn.1671-8348.2015.18.001,李亚文[1];徐世元[2];张庆国[2];李乐[2];赖露颖[2];郑艇[2];苏娇玲[3];杨耐梅[3];李元涛[3];,"[1]南方医科大学珠江医院麻醉科，广州510282; 南方医科大学附属深圳妇幼保健院麻醉科，广东深圳518028;[2]南方医科大学珠江医院麻醉科,广州,510282;[3]南方医科大学附属深圳妇幼保健院麻醉科,广东深圳,518028;",重庆医学,SH-SY5Y细胞;活性氧;细胞凋亡;神经毒性类;,R614,2015,,18
zgwzbjjyx201401010,11,"ISTIC,PKU",无创心排血量监测技术联合被动抬腿试验预测脓毒性休克患儿容量反应性的临床研究,10.3760/cma.j.issn.2095-4352.2014.01.010,武宇辉;刘晓红;李成荣;何颜霞;杨卫国;杨燕澜;马伟科;付坤会;,,中华危重病急救医学,无创心排血量监测;被动抬腿试验;容量反应性;儿童;,,2014,26,1
cqyx201415028,0,"ISTIC,PKU",Grp78基因过表达慢病毒载体构建和包装及鉴定,10.3969/j.issn.1671-8348.2014.15.028,李亚文[1];徐世元[2];张庆国[2];李乐[2];赖露颖[2];郑艇[2];苏娇玲[3];杨耐梅[3];李元涛[3];,"[1]南方医科大学珠江医院麻醉科，广州510282; 南方医科大学附属深圳妇幼保健院麻醉科，广东深圳518028;[2]南方医科大学珠江医院麻醉科,广州,510282;[3]南方医科大学附属深圳妇幼保健院麻醉科,广东深圳,518028;",重庆医学,Grp78基因;慢病毒载体;基因工程;,,2014,,15
zgxxws201506030,2,"ISTIC,PKU",深圳市托幼机构卫生保健工作现况分析,,邱双燕[1];刘一心[2];雷雨[2];李海飞[2];黄桂芳[2];,"[1]南方医科大学附属深圳妇幼保健院儿童保健科,深圳518048;南方医科大学公共卫生与热带医学学院;[2]南方医科大学附属深圳妇幼保健院儿童保健科,深圳,518048;",中国学校卫生,卫生保健调查;统计学;儿童;,R175  R195,2015,36,6
lnywylc201401012,15,"ISTIC,PKU",丹参多酚酸盐对老年不稳定型心绞痛患者血液流变学及内皮功能的影响,,庞洲[1];查赣[1];许尔凤[2];,"[1]深圳恒生医院,深圳,518102;[2]深圳市沙井人民医院,深圳,518102;",实用药物与临床,丹参多酚酸盐;不稳定型心绞痛;血液流变学;内皮功能;,,2014,17,1
lnywylc201401012,15,"ISTIC,PKU",丹参多酚酸盐对老年不稳定型心绞痛患者血液流变学及内皮功能的影响,,庞洲[1];查赣[1];许尔凤[2];,"[1]深圳恒生医院,深圳,518102;[2]深圳市沙井人民医院,深圳,518102;",实用药物与临床,丹参多酚酸盐;不稳定型心绞痛;血液流变学;内皮功能;,,2014,17,1
lcfkzz201512008,2,"ISTIC,PKU",深圳市宝安区结核病人社会支持评定量表测试结果分析,10.3969/j.issn.1009-6663.2015.12.008,赵梅桂[1];汪文新[2];唐瑛[1];王云霞[1];赵安贵[1];,"[1]深圳宝安区慢性病防治院, 广东 深圳,518133;[2]江苏大学工商管理学院, 江苏 镇江,212013;",临床肺科杂志,结核病患者;社会支持;评定量表;,,2015,,12
zhxwwk201406025,1,"ISTIC,PKU",吻合二条动脉足趾移植再造手(拇)指20例,10.3760/cma.j.issn.1001-2036.2014.06.025,梁启善[1];郭小惠[1];杨小文[2];刘明龙[2];肖立罡[2];,"[1]涪陵郭昌毕骨伤科医院,重庆,408000;[2]暨南大学附属深圳华侨医院;",中华显微外科杂志,拇指;手指;足趾;再造;显微外科手术;,,2014,,6
zgfybj201536059,0,"ISTIC,PKU",深圳市托幼机构儿童伤害流行状况与家居环境影响因素研究,10.7620/zgfybj.j.issn.1001-4411.2015.36.59,彭中华[1];王虹[2];史勇萍[3];黄美兴[2];方宝珍[3];王宝兰[4];徐丽凤[5];张文静[6];,[1]南方医科大学附属深圳妇幼保健院保健部 广东深圳 518028;[2]南方医科大学附属深圳妇幼保健院儿童健康科;[3]深圳市第九幼儿园;[4]深圳市彩田幼儿园;[5]深圳市南头城幼儿园;[6]深圳市新洲幼儿园;,中国妇幼保健,托幼机构;儿童;伤害;流行特征;危险因素;,R181.3,2015,30,36
zhyx201617015,0,"ISTIC,PKU",磁敏感加权成像在兔肝脏纤维化模型分期中的诊断价值,10.3760/cma.j.issn.0376-2491.2016.17.015,江锦赵[1];邓灵波[2];阮继银[2];成先义[2];邹立秋[3];,"[1]518053,香港大学深圳医院放射科;[2]北京大学深圳医院放射科;[3]深圳第六人民医院南山医院放射科;",中华医学杂志,磁共振成像;肝硬化;肿瘤分期;磁敏感加权成像;,,2016,96,17
gwyx-fybj201604005,0,"ISTIC,PKU",婴儿199例溢奶发生与干预调查分析,10.3969/j.issn.1673-5293.2016.04.005,彭中华[1];王虹[2];邓文娇[2];陈杰生[2];,"[1]南方医科大学附属深圳妇幼保健院保健部,广东深圳,518028;[2]南方医科大学附属深圳妇幼保健院儿童健康科,广东深圳,518028;",中国妇幼健康研究,婴儿;溢奶;干预;流行病学调查;,R722,2016,27,4
gwyx-mzxyfsfc201403013,0,"ISTIC,PKU",布比卡因致高糖培养SH-SY5Y细胞内质网应激增强与活性氧簇增多及凋亡增加,10.3760/cma.j.issn.1673-4378.2014.03.013,李亚文[1];徐世元[2];张庆国[2];李乐[2];赖露颖[2];郑艇[2];苏娇玲[3];杨耐梅[3];李元涛[3];,"[1]510282广州,南方医科大学珠江医院麻醉科;南方医科大学附属深圳妇幼保健院麻醉科;[2]南方医科大学珠江医院麻醉科,广州,510282;[3]南方医科大学附属深圳妇幼保健院麻醉科;",国际麻醉学与复苏杂志,SH-SY5Y细胞;活性氧簇;细胞凋亡;神经毒性易感;,,2014,35,3
tjyy201509033,3,"ISTIC,PKU",儿童急性下呼吸道感染相关危险因素的Meta分析,10.11958/j.issn.0253-9896.2015.09.033,付卓[1];万莉雅[1];徐勇胜[1];郑跃杰[2];,[1]天津市儿童医院呼吸科 邮编300134;[2]遵义医学院深圳儿童医院;,天津医药,呼吸道感染;急性病;危险因素;Meta分析;儿童;,R725.6,2015,,9
tjyy201509033,3,"ISTIC,PKU",儿童急性下呼吸道感染相关危险因素的Meta分析,10.11958/j.issn.0253-9896.2015.09.033,付卓[1];万莉雅[1];徐勇胜[1];郑跃杰[2];,[1]天津市儿童医院呼吸科 邮编300134;[2]遵义医学院深圳儿童医院;,天津医药,呼吸道感染;急性病;危险因素;Meta分析;儿童;,R725.6,2015,,9
qqhryxyxb201519084,7,"ISTIC,PKU",腹腔镜子宫肌瘤切除患者围手术期的护理观察,,邓小凤;,,齐齐哈尔医学院学报,腹腔镜;子宫肌瘤切除;围手术期;护理;,,2015,,19
tjyy201505016,3,"ISTIC,PKU",急性下呼吸道感染患儿病原学分析及其与哮喘发作的关系,10.11958/j.issn.0253-9896.2015.05.016,付卓[1];万莉雅[1];徐勇胜[1];郭伟[1];郑跃杰[2];,[1]天津市儿童医院 300074;[2]遵义医学院深圳儿童医院;,天津医药,哮喘;变应原;正黏病毒科;鼻病毒属;儿童;下呼吸道感染;,R725.6,2015,43,5
xxgbxjz201603004,0,"ISTIC,PKU",粥样硬化性肾动脉狭窄介入适应证的探讨,10.16806/j.cnki.issn.1004-3934.2016.03.004,闵敏;,,心血管病学进展,粥样硬化性肾动脉狭窄;介入治疗;适应证;,R54,2016,37,3
zgyxcx201509049,6,"ISTIC,PKU",炔诺酮联合宫腔镜子宫内膜息肉切除术治疗子宫内膜息肉的临床分析,10.3969/j.issn.1674-4985.2015.09.048,王瑞;蔡秋娥;汤雄文;,,中国医学创新,子宫内膜息肉;宫腔镜切除术;炔诺酮;月经改善率;,,2015,,9
lcgdbzz201509023,1,"ISTIC,PKU",5-氟尿嘧啶对肝癌细胞株PLC/RAF/5生物学特性及耐药机制的影响,10.3969/j.issn.1001-5256.2015.09.023,程康文[1];李琪[2];詹勇强[3];王成友[4];王贵和[1];倪勇[3];朱宝和[3];邓雪松[3];,"[1]铜陵市人民医院胃肠外科,安徽铜陵,244000;[2]深圳市人民医院肝胆外科,广东深圳,518020;[3]深圳大学第一附属医院肝胆外科,广东深圳,518035;[4]暨南大学附属深圳华侨医院普外科,广东深圳,518111;",临床肝胆病杂志,"氟尿嘧啶;肝肿瘤;细胞系,肿瘤;肿瘤干细胞;抗药性,肿瘤;",R735.7,2015,31,9
zgddekzz2015020018,10,"ISTIC,PKU",儿童热性惊厥临床特征及其变化趋势,10.7499/j.issn.1008-8830.2015.02.014,李宁[1];陈言钊[2];周克英[2];,"[1]南方医科大学附属深圳妇幼保健院儿科,广东深圳,518000;[2]暨南大学第二临床医学院深圳市人民医院儿科,广东深圳,518020;",中国当代儿科杂志,热性惊厥;临床特征;儿童;,,2015,,2
gdyx201607006,0,"ISTIC,PKU",抑制miR-140腺相关病毒载体的构建及鉴定,,贺鹏[1];段莉[2];梁宇杰[3];,"[1]南方医科大学附属深圳恒生医院口腔科,广东深圳,518102;[2]广东省深圳市第二人民医院中心实验室、深圳市组织工程重点实验室,518035;[3]北京大学深圳研究生院化学生物学与生物技术学院,广东深圳,518055;",广东医学,腺相关病毒;miR-140 tough decoy;骨肉瘤细胞;,,2016,37,7
njtdyxyxb201601002,0,"ISTIC,PKU",miRNA-140过表达腺病毒载体的构建及鉴定,10.3969/j.issn.1671-6264.2016.01.002,贺鹏[1];段莉[2];,"[1]南方医科大学附属深圳恒生医院口腔科,广东深圳,518000;[2]深圳市第二人民医院(深圳大学第一附属医院),深圳市组织工程重点实验室,广东深圳518035;",东南大学学报（医学版）,miRNA-140;AdEasy系统;荧光定量PCR;骨肉瘤细胞;,Q782,2016,35,1
syeklczz201402002,8,"ISTIC,PKU",亚低温治疗与脑保护,10.3760/cma.j.issn.2095-428X.2014.02.002,杨传忠;朱小瑜;,,中华实用儿科临床杂志,"亚低温;缺氧缺血性脑病;神经保护;婴儿,新生;",,2014,29,2
pfbyxb201605029,0,"ISTIC,PKU",胶原贴敷料联合异维A酸治疗寻常痤疮疗效观察与护理,10.3969/j.issn.1002-1310.2016.05.029,邓益帼;李湘辉;周佳慧;刘怡;,,皮肤病与性病,胶原贴;异维A酸;痤疮;,R758.73+3  R473.75,2016,38,5
zgxdyxzz201527017t,0,"ISTIC,PKU",醉酒对外伤性颅内进展性出血手术治疗影响分析,,游恒星;练晓文;陈建良;钟远强;张清平;彭智涛;,,中国现代医学杂志,颅脑损伤;颅内出血;手术;酒精中毒;,R651.11,2015,25,27
zhhlzz201508030,7,"ISTIC,PKU",Bakri球囊预防与治疗产后出血患者的护理,10.3761/j.issn.0254-1769.2015.08.030,曾倩;杨晓红;宁立罚;王玲;,,中华护理杂志,产后出血;Bakri球囊;护理;,,2015,50,8
gwyx-hlxfc201507045,0,"ISTIC,PKU",甲型 H1 N1流感重症和危重症孕妇患者的心理干预价值分析,10.3760/cma.j.issn.1673-4351.2015.07.044,邓小凤;朱丽萍;,,国际护理学杂志,甲型H1N1流感;重症;危重症;孕妇;心理干预;,R473.71,2015,,7
zhyx201620018,0,"ISTIC,PKU",同时发生不同病理类型的双侧睾丸肿瘤一例,10.3760/cma.j.issn.0376-2491.2016.20.018,李晓溪[1];谢华[1];陈方[1];李守林[2];黄轶晨[1];吕逸清[1];陈艳[1];孙会振[1];奚政君[3];,"[1]200062,上海市儿童医院上海交通大学附属儿童医院泌尿外科;[2]深圳儿童医院泌尿外科;[3]200062,上海市儿童医院上海交通大学附属儿童医院病理科;",中华医学杂志,@@;,,2016,96,20
sxyyzz201512028,0,"ISTIC,PKU",急诊乙醇中毒行复方丹参注射液联合纳洛酮治疗的疗效分析,,郭浩[1];蔺慧[2];,"[1]712000,陕西省咸阳市第一人民医院急诊科;[2]暨南大学附属深圳华侨医院肿瘤科;",山西医药杂志,,,2015,,12
zyyjk201513021,0,"ISTIC,PKU",深圳市宝安区结核病患者对诊疗基本知识掌握的情况,,唐瑛[1];汪文新[2];赵梅桂[1];王云霞[1];赵安贵[1];,"[1]广东省深圳宝安区慢性病防治院结核病防治科,深圳市宝安区结核病防治医学重点学科,518133;[2]江苏大学管理学院;",职业与健康,结核;诊疗基本知识;知晓率;logistic回归;,R193,2015,31,13
zhfsbx98201511003,1,"ISTIC,PKU",微小RNA-155通过抑制Ets-1促进Th17分化,10.3760/cma.j.issn.1007-7480.2015.11.003,尹志华;罗秀霞;张春容;陈新鹏;黄进贤;叶志中;,,中华风湿病学杂志,CD4阳性T淋巴细胞;白细胞介素17;miR-155;Ets-1;,,2015,19,11
zhsjwkzz98201509003,1,"ISTIC,PKU",神经内镜下经眉弓锁孔入路切除Rathke囊肿的手术体会,10.3760/cma.j.issn.1001-2346.2015.09.003,彭玉平[1];樊俊[1];李煜[1];邱明兴[1];漆松涛[1];陈建良[2];钟远雄[2];游恒星[2];,"[1]南方医科大学南方医院神经外科, 广州,510515;[2]深圳福田医院神经外科;",中华神经外科杂志,神经内镜;中枢神经系统囊肿;Rathke囊肿;经眉弓入路;锁孔手术;,,2015,31,9
nfhlxb201411013,0,"ISTIC,PKU",早期系统肠道刺激预防机械通气患者胃肠功能障碍的研究,,李丹卉;杨梅;宋意;陈晖;,,护理学报,机械通气;肠道刺激;胃肠功能障碍;,R473.5,2014,,11
zhwcyxzz201604003,5,"ISTIC,PKU",“新生儿窒息多器官损害的临床诊断标准”解读,10.3760/cma.j.issn.1007-9408.2016.04.002,虞人杰[1];王俊怡[1];刘淑芳[1];徐小静[1];刘霞[1];朱建宏[1];岳丽琴[1];李莉娜[2];岳少杰[3];曹云[4];王来栓[4];朱小瑜[5];杨传忠[5];叶鸿瑁[6];童笑梅[6];刘云峰[6];张巍[7];马建荣[7];张雪峰[8];李龙[9];李明珠[9];,"[1]清华大学第一附属医院儿科, 北京,100016;[2]清华大学第一附属医院统计室, 北京,100016;[3]中南大学湘雅医院新生儿科, 长沙,410008;[4]复旦大学附属儿科医院新生儿科, 上海,201102;[5]518028,南方医科大学附属深圳妇幼保健院新生儿科;[6]100191,北京大学第三医院儿科;[7]100026,首都医科大学附属北京妇产医院新生儿科;[8]100730,中国医学科学院北京协和医院新生儿科;[9]新疆维吾尔自治区人民医院新生儿科, 乌鲁木齐,830001;",中华围产医学杂志,,,,,
yydb2015z1020,0,"ISTIC,PKU",抗环瓜氨酸肽抗体在类风湿关节炎临床应用,10.3870/j.issn.1004-0781.2015.z1.020,曾惠琼;黄建嫦;周敏;卢小平;黄新民;何伟珍;尹志华;叶志中;,,医药导报,抗环瓜氨酸肽抗体;类风湿关节炎;疾病活动度;,R593.22,2015,34,z1
xdyy201412061,3,"ISTIC,PKU",深圳市孕妇艾滋病感染情况及母婴阻断效果分析,10.3969/j.issn.1671-332X.2014.12.061,王瑞;王淼;陈丽云;万建玉;,,现代医院,艾滋病;母婴传播;综合干预;,,2014,14,12
zylcyj201419024,3,"ISTIC,PKU",论“气虚学说”在肿瘤防治的应用,10.3969/j.issn.1674-7860.2014.19.023,李松林[1];唐由君[2];曾庆明[3];,[1]深圳第三人民医院，广东 深圳，518112;[2]山东中医药大学附属山东省中医院，山东 济南，250011;[3]深圳市罗湖区中医院，广东 深圳，518100;,中医临床研究,中医;气虚学说;老年肿瘤;防治;,R273,2014,,19
zgfybj201416014,8,"ISTIC,PKU",认知行为干预对剖宫产产妇负性情绪和免疫功能的影响,10.7620/zgfybj.j.issn.1001-4411.2014.16.14,黄宝珍;李金华;刘力华;,,中国妇幼保健,剖宫产;认知行为干预;负性情绪;免疫功能;,R173,2014,29,16
hlglzz201501013,9,"ISTIC,PKU",实习护生经历医务场所暴力的真实感受,,陈丽莲[1];孙建萍[2];,"[1]南方医科大学附属深圳妇幼保健院新生儿重症监护室,深圳市,518028;[2]山西中医学院护理系,太原市,030024;",护理管理杂志,医务场所暴力;护生;职业认知;情绪反应;,R471,2015,15,1
zhcsyx201405015,4,"ISTIC,PKU",“靶环征”在产前诊断肛门闭锁中的意义,10.3760/cma.j.issn.1004-4477.2014.05.015,袁鹰[1];李胜利[1];田晓先[2];文华轩[1];毕静茹[1];郑琼[1];官勇[1];付倩[1];,"[1]南方医科大学附属深圳妇幼保健院超声科, 深圳,518028;[2]广西壮族自治区妇幼保健院超声室;",中华超声影像学杂志,"超声检查,产前;肛门闭锁;靶环征;肛门括约肌;",,2014,23,5
gxyx201603003,1,"ISTIC,PKU",新建辅助生殖实验室的鼠胚实验报告,10.11675/j.issn.0253-4304.2016.03.03,高亚可[1];杜姗姗[2];,"[1]南方医科大学附属深圳恒生医院生殖医学中心,深圳市,518000;[2]广西大学动物繁殖研究所,南宁市,530000;",广西医学,鼠胚实验;体外受精;体内受精;两气培养;三气培养;辅助生殖实验室;小鼠;,R-322,2016,38,3
zhfylcyxzz201403018,9,"ISTIC,PKU",4875例新生儿高胆红素血症发病的危险因素及其影响,10.3877/cma.j.issn.1673-5250.2014.03.018,赵捷;杨勇;梅家平;杨传忠;叶素芬;钟慧君;,,中华妇幼临床医学杂志（电子版）,"婴儿,新生;高胆红素血症;危险因素;",,2014,10,3
zgddekzz201404012,3,"ISTIC,PKU",白细胞相关免疫球蛋白样受体-1在免疫性血小板减少症患儿中的表达,10.7499/j.issn.1008-8830.2014.04.012,黄美玲;李长钢;王国兵;祖莹;,,中国当代儿科杂志,免疫性血小板减少症;白细胞相关免疫球蛋白样受体-1;免疫失衡;儿童;,,2014,16,4
syfckzz201412016,3,"ISTIC,PKU",尿液Lipocalin型前列腺素D合酶含量测定在妊娠期高血压疾病中的评估价值,,郭红霞[1];胡金艳[1];胡水旺[2];王晨虹[1];,"[1]南方医科大学附属深圳妇幼保健院,广东深圳,518028;[2]南方医科大学病理生理教研室,广东广州,510515;",实用妇产科杂志,尿液;前列腺素D合酶;妊娠期高血压疾病;,R714.24,2014,30,12
yxllysj201412010,2,"ISTIC,PKU",宫腔镜下子宫中隔切除术后不同剂量雌激素的疗效分析,,刘玉红;,,医学理论与实践,宫腔镜;子宫中隔切除;宫腔粘连;副作用;,R713,2014,,12
xdxhjjrzl201606005,0,"ISTIC,PKU",超声弹性成像技术诊断非酒精性脂肪性肝炎肝纤维化的临床应用,10.3969/j.issn.1672-2159.2016.06.005,华军霞;叶红军;刘红;温益群;卢腾飞;周政;,,现代消化及介入诊疗,超声弹性成像;非酒精性脂肪肝性肝炎;肝纤维化;,,2016,21,6
zgjxyxjy201518049,1,"ISTIC,PKU",多层螺旋CT在原发性腹膜后肿瘤诊断中的应用,10.3969/j.issn.1674-9308.2015.18.049,周学军[1];刘娅[2];何武[2];陆雄伟[2];梁金基[2];,"[1]136200,吉林省东辽县人民医院放射科;[2]518111,暨南大学附属深圳华侨医院放射科;",中国继续医学教育,原发性腹膜后肿瘤;多层螺旋CT;诊断价值;,R445.3,2015,,18
zhwcyxzz201604001,2,"ISTIC,PKU",新生儿窒息多器官损害的临床诊断标准,10.3760/cma.j.issn.1007-9408.2016.04.001,虞人杰[1];王俊怡[1];刘淑芳[1];徐小静[1];刘霞[1];朱建宏[1];岳丽琴[1];李莉娜[2];岳少杰[3];曹云[4];王来栓[4];朱小瑜[5];杨传忠[5];叶鸿瑁[6];童笑梅[6];刘云峰[6];王丹华[7];万伟琳[7];张雪峰[8];李龙[9];李明珠[9];,"[1]清华大学第一附属医院儿科, 北京,100016;[2]清华大学第一附属医院统计室, 北京,100016;[3]中南大学湘雅医院新生儿科, 长沙,410008;[4]复旦大学附属儿科医院新生儿科, 上海,201102;[5]518028,南方医科大学附属深圳妇幼保健院新生儿科;[6]100191,北京大学第三医院儿科;[7]100730,中国医学科学院北京协和医院新生儿科;[8]解放军第三0二医院新生儿科, 北京,100039;[9]新疆维吾尔自治区人民医院新生儿科, 乌鲁木齐,830001;",中华围产医学杂志,,,,,
gwyx-hlxfc201504043,8,"ISTIC,PKU",延续护理对乳腺癌保乳术后患者心理及生存质量的影响,10.3760/cma.j.issn.1673-4351.2015.04.043,钟春嫦;王恩礼;郭海云;肖宏;刘海英;,,国际护理学杂志,延续护理;乳腺癌;心理;生存质量;,R473.73,2015,34,4
