唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
zgddekzz201511004,0,"ISTIC,PKU",不同胎龄新生儿身长体重指数研究,10.7499/j.issn.1008-8830.2015.11.004,黄小云[1];刘惠龙[2];麦慧芬[1];雷敏[1];李优聪[3];马凤兰[1];,"[1]深圳市宝安区妇幼保健院 妇产科,广东 深圳,518133;[2]深圳市宝安区妇幼保健院 儿科,广东 深圳,518133;[3]深圳市宝安区妇幼保健院 新生儿科,广东 深圳,518133;",中国当代儿科杂志,胎龄;生长发育;身长体重指数;新生儿;,,2015,,11
qqhryxyxb201607011,0,"ISTIC,PKU",四物合方治疗青春期月经失调的效果分析,,李丽梅;魏月华;张素婉;,,齐齐哈尔医学院学报,四物合方;青春期月经失调;临床疗效;,,2016,37,7
gwyx-lcsw201424021,2,"ISTIC,PKU",染色体变异、畸变与男性生殖激素水平和精子生成的关系,10.3969/j.issn.1673-4130.2014.24.021,刘浩[1];耿春惠[2];沈楷[3];黄永祥[1];张丽燕[1];陈爱群[1];,"[1]深圳市宝安区妇幼保健院 生殖健康科,广东深圳,518133;[2]深圳市宝安区妇幼保健院 手术室,广东深圳,518133;[3]深圳市宝安区妇幼保健院 中心实验室,广东深圳,518133;",国际检验医学杂志,染色体畸变;染色体变异;生殖激素;少精子症;无精子症;,,2014,,24
lcjsyxzz201401030,1,"ISTIC,PKU",101例惊恐发作患者诊断归属及发作场所调查,,吴东辉[1];杨权[2];,"[1]深圳精神卫生中心老年精神科、深圳市心理健康重点实验室,518020;[2]汕头大学医学院、北京大学深圳医院;",临床精神医学杂志,惊恐障碍;惊恐发作;,R749.7,2014,24,1
zgyykx201610030,0,"ISTIC,PKU",42例经口入路腔镜甲状腺切除手术患者护理分析,,林少珍[1];涂燕喜[2];叶秀云[3];,"[1]深圳市宝安区福永人民医院质控科,广东深圳,518103;[2]深圳市宝安区福永人民医院护理部,广东深圳,518103;[3]深圳市宝安区福永人民医院外三科,广东深圳,518103;",中国医药科学,经口入路;腔镜;甲状腺切除手术;护理;,R473.6,2016,6,10
zhcrbzz201602011,0,"ISTIC,PKU",艰难梭菌数字化聚合酶链反应-核糖体分型方法及参考图谱的建立,10.3760/cma.j.issn.1000-6680.2016.02.011,肖克林[1];王中兴[2];周天祥[2];麦光兴[1];王秦宁[3];孔繁荣[3];,"[1]518133,深圳市宝安区妇幼保健院中心实验室;[2]518133,深圳市宝安区妇幼保健院检验科;[3]悉尼大学Westmead医院感染性疾病和微生物中心;",中华传染病杂志,"梭菌,难辨;PCR-核糖体分型;荧光毛细管电泳;数字化;数据库;",,2016,34,2
lcjyzz201601007,0,"ISTIC,PKU",艰难梭菌婴幼儿分离株毒力及基因型分布研究,10.13602/j.cnki.jcls.2016.01.07,王中兴[1];周天祥[1];甄建新[2];夏勇[2];麦光兴[2];肖克林[2];,"[1]深圳市宝安区妇幼保健院检验科,广东深圳,518133;[2]深圳市宝安区妇幼保健院中心实验室,广东深圳,518133;",临床检验杂志,艰难梭菌;毒素A、B;基因型;婴幼儿;,R446.5,2016,34,1
zgfybj201519011,0,"ISTIC,PKU",子痫前期三维能量多普勒超声和产后胎盘中MMP-2及TIMP-2的关系,10.7620/zgfybj.j.issn.1001-4411.2015.19.11,张彦华[1];李冬梅[2];蔡博宇[3];林海英[4];,[1]深圳市宝安区妇幼保健院超声医学科 518133;[2]长春大学特殊教育学院;[3]深圳市宝安区妇幼保健院病理科;[4]深圳市宝安区妇幼保健院优生门诊;,中国妇幼保健,三维能量多普勒超声;胎盘;子痫前期;,R714.25+5,2015,30,19
zhcrbzz201505011,0,"ISTIC,PKU",莫西沙星耐药的艰难梭菌多重聚合酶链反应检测和基因分型,10.3760/cma.j.issn.1000-6680.2015.05.009,黄丽清[1];肖克林[2];周天祥[1];王中兴[1];孔繁荣[3];,"[1]518133,深圳市宝安区妇幼保健院检验科;[2]518133,深圳市宝安区妇幼保健院中心实验室;",中华传染病杂志,"梭菌,难辨;表面膜蛋白 A;基因分型;多重聚合酶链反应;",,2015,,5
zhcrbzz201409020,0,"ISTIC,PKU",深圳社区女性宫颈细胞学病变和人乳头瘤病毒感染状况,10.3760/cma.j.issn.1000-6680.2014.09.015,肖克林[1];罗茗月[1];严泽浩[1];麦光兴[1];李卫东[2];陈芳芳[2];熊礼宽[1];,"[1]518133,深圳市宝安区妇幼保健院中心实验室;[2]518133,深圳市宝安区妇幼保健院 病理科;",中华传染病杂志,,,2014,,9
sxhlzz201401033,37,"ISTIC,PKU",产后出血预测评分表在预防初产妇产后出血中的应用,10.3969/j.issn.1009-6493.2014.01.033,邓华艳;洪涛;贺英英;叶彩容;方少琴;,,护理研究,初产妇;阴道分娩;产后出血预测评分表;产后出血;护理干预;,R473.71,2014,28,1
cwycnyy201402005,22,"ISTIC,PKU",早期肠内营养对结直肠癌病人术后恢复的影响,,韩芳[1];李晓迪[1];宗轶[2];刘晔[1];程梦婕[1];,"[1]广州军区武汉总医院营养科,湖北武汉,430070;[2]深圳市宝安区福永人民医院肛肠科,广东深圳,518103;",肠外与肠内营养,早期肠内营养;全肠外营养;结直肠癌;,R735.35  R459.3,2014,21,2
zgfybj201517050,3,"ISTIC,PKU",三维能量多普勒超声联合孕妇血清中TNF-α检测妊娠期高血压疾病的研究,10.7620/zgfybj.j.issn.1001-4411.2015.17.50,张彦华[1];林海英[2];高宇[3];,[1]广东省深圳市宝安区妇幼保健院超声医学科 518133;[2]深圳市宝安区妇幼保健院优生门诊;[3]深圳市人民医院产科;,中国妇幼保健,三维能量多普勒超声;妊娠期高血压疾病;TNF-α;,R714.246,2015,30,17
zgyxcx201628035,0,"ISTIC,PKU",脑卒中患者认知康复治疗的临床应用与观察,10.3969/j.issn.1674-4985.2016.28.035,任海;蔡秋叶;,,中国医学创新,脑卒中;认知康复治疗;认知能力;肢体运动能力;日常生活能力;,,2016,13,28
hsjxzz201411018,17,"ISTIC,PKU",综合干预管理模式对社区慢性糖尿病患者的影响,,谢艳华;戴卫华;张杨;,,护士进修杂志,综合干预;糖尿病;社康中心;社区护理;,R473.2  R587.1,2014,,11
gmzy201609067,0,"ISTIC,PKU",综合康复护理对脑血管病并发症和康复效果的影响,10.3969/j.issn.1003-8914.2016.09.063,帅琴;,,光明中医,综合康复护理;脑血管;并发症;康复效果;,,2016,31,9
zgfybj201413027,3,"ISTIC,PKU",女性生殖道支原体感染与宫内节育器放置术后不良反应的关系研究,10.7620/zgfybj.j.issn.1001-4411.2014.13.27,谢芳[1];李鸿敏[1];刘云华[2];周立晓[1];谢辉艳[1];潘永利[1];姚秋玉[1];熊桂荣[1];韩定英[1];,[1]广东省深圳市罗湖区计划生育服务中心医疗部 518002;[2]深圳流花医院妇产科;,中国妇幼保健,生殖道支原体感染;宫内节育器;不良反应;并发症;,R711.3,2014,29,13
szyxzz201502003,2,"ISTIC,PKU",具有不良孕产史夫妇染色体分析,10.3969/j.issn.1004-3845.2015.02.003,李慧[1];王辉林[2];李瑾[1];沈楷[2];李晓红[1];陈湘梅[1];,"[1]广东深圳市宝安区妇幼保健院生殖健康科,深圳,518133;[2]广东深圳市宝安区妇幼保健院中心实验室,深圳,518133;",生殖医学杂志,染色体;不良孕产史;染色体多态性;,,2015,24,2
zwyxyj201521068,0,"ISTIC,PKU",急诊呼吸阶梯性疗法对急危重症患者进行呼吸复苏治疗的临床效果,10.14033/j.cnki.cfmr.2015.21.068,毛伟;,,中外医学研究,急危重症;呼吸复苏;呼吸阶梯性疗法;,R459.7,2015,,21
zwyxyj201412075,1,"ISTIC,PKU",脑卒中偏瘫患者功能性电刺激后上肢功能的远期恢复,,任海;何永红;,,中外医学研究,功能性电刺激;脑卒中;上肢运动功能;恢复;,R743.3,2014,,12
qlhlzz201409018,29,"ISTIC,PKU",全程护理干预对小儿哮喘雾化吸入治疗的影响,10.3969/j.issn.1006-7256.2014.09.017,王文明;李雪梅;蔡晓华;,,齐鲁护理杂志,全程护理干预;小儿哮喘;雾化吸入;生活质量;,R473.72,2014,,9
gwyx-lcsw201508048,0,"ISTIC,PKU",胎儿血红蛋白改善β-珠蛋白生成障碍性贫血携带者贫血程度的研究,10.3969/j.issn.1673-4130.2015.08.048,李丽华[1];马竞[2];江凡[1];邹建话[1];周喜友[1];高水湾[1];黄丽清[1];,"[1]深圳市宝安区妇幼保健院 检验科,广东深圳,518133;[2]深圳市宝安区妇幼保健院 中心实验室,广东深圳,518133;",国际检验医学杂志,β-珠蛋白生成障碍性贫血;胎儿血红蛋白;基因突变;,,2015,,8
zgddekzz201411025,0,"ISTIC,PKU",动态监测婴儿肠道16S rDNA宏基因组5例报告,10.7499/j.issn.1008-8830.2014.11.022,马丽亚[1];张敏[1];王辉林[2];陈睿[1];黄艳[1];梁小琴[1];卢光进[1];,"[1]深圳市宝安区妇幼保健院 新生儿科,广东深圳,518133;[2]深圳市宝安区妇幼保健院 中心实验室,广东深圳,518133;",中国当代儿科杂志,宏基因组;测序;肠道菌群;婴儿;,,2014,,11
syfsxzz201506041,3,"ISTIC,PKU",磁共振扩散张量成像在乳腺肿物中的研究,10.3969/j.issn.1002-1671.2015.06.038,安超(综述);娄明武(审校);,,实用放射学杂志,,R445.2  R655.8,2015,,6
ylbjqj201509020,1,"ISTIC,PKU",心肺脑复苏患者血液中脑红蛋白及N端脑钠肽前体的表达意义,10.3969/j.issn.1674-4659.2015.09.1155,阳生光[1];张欣洲[2];林少珍[1];向华国[3];颜石新[1];,"[1]深圳市宝安区福永人民医院急诊科,广东深圳,518103;[2]深圳市人民医院肾内科,广东深圳,518103;[3]深圳市宝安区福永人民医院中心实验室,广东深圳,518103;",临床医学工程,脑红蛋白;N端脑钠肽前体;心搏骤停;心肺脑复苏;预后;,R654.1,2015,22,9
yxzs201408045,0,"ISTIC,PKU",纤维胶凝蛋白3在系统性红斑狼疮发病中的作用和临床意义,10.3969/j.issn.1006-2084.2014.08.045,谢乐静;,,医学综述,系统性红斑狼疮;纤维胶凝蛋白3;酶联免疫吸附法;血小板;,R593.2,2014,20,8
syyfyx201501021,17,"ISTIC,PKU",2009-2013年深圳市手足口病流行特征分析,10.3969/j.issn.1006-3110.2015.01.020,廖玉学[1];路滟[1];梅树江[1];张振[1];梁浩[1];唐广心[2];,"[1]深圳市疾病预防控制中心,广东深圳,518055;[2]深圳市宝安区疾病预防控制中心;",实用预防医学,手足口病;流行特征;描述流行病学;,R512.5,2015,22,1
syyxzz201509029,1,"ISTIC,PKU",经导管封堵室间隔缺损术后传导阻滞效果观察,10.3969/j.issn.1006-5725.2015.09.028,钟庆华[1];张智伟[2];方胜先[1];钱明阳[2];谢育梅[2];王树水[2];,"[1]518116,深圳龙岗中心医院心血管内科;[2]广东省人民医院广东省心血管研究所心血管儿科, 广州市,510080;",实用医学杂志,传导阻滞;室间隔缺损;心脏导管插入术;,,2015,,9
zyzg201407044,19,"ISTIC,PKU",脊柱骨折并发脊髓损伤的优质护理,,张芳[1];赵祯[2];郑晓静[1];马梦晖[1];,"[1]深圳平乐骨伤科医院,广东 深圳,518010;[2]河南省郑州市骨科医院,河南 郑州,450052;",中医正骨,"脊柱骨折;脊髓损伤;骨折固定术,内;护理;",,2014,,7
zgfybj201511039,10,"ISTIC,PKU",妊娠期糖尿病的流行病学调查分析,10.7620/zgfybj.j.issn.1001-4411.2015.11.39,李会琴;刘云;任利容;,,中国妇幼保健,妊娠期糖尿病;流行病学;风险因素;,R714.256,2015,30,11
zgyyzn201416187,1,"ISTIC,PKU",老年高血压糖尿病的保健措施探讨,,莫才周[1];鲁杰[2];,"[1]深圳市宝安区福永人民医院新田社康中心,广东深圳,518103;[2]深圳市宝安区福永人民医院内科,广东深圳,518103;",中国医药指南,老年高血压糖尿病;保健;措施;分析探讨;,R544.1  R587.1,2014,,16
amydy201405094,1,"ISTIC,PKU",艾灸结合中药封包治疗原发性痛经的护理体会,,谢艳华[1];戴卫华[2];,"[1]深圳市宝安区福永人民医院社管中心,广东深圳,518103;[2]深圳市宝安区福永人民医院稔田社康中心,广东深圳,518103;",按摩与康复医学,原发性痛经;艾灸疗法;中药封包;护理;,R248.3,2014,,5
ylbjqj201610048,0,,护理干预对妊娠期糖尿病新生儿神经行为发育的影响,10.3969/j.issn.1674-4659.2016.10.1379,苏苓[1];谢梅娟[1];黄卫东[2];,"[1]深圳市宝安区妇幼保健院产科,广东深圳,518101;[2]深圳市宝安区妇幼保健院儿科,广东深圳,518101;",临床医学工程,新生儿;护理干预;妊娠期糖尿病;神经行为发育;,R473.71,2016,23,10
zhldwszyb201502012,3,"ISTIC,PKU",低浓度苯接触工人职业性慢性苯中毒五例,10.3760/cma.j.issn.1001-9391.2015.02.012,赵转地[1];朱志良[2];张胜[1];陈金茹[1];宾海华[1];,"[1]518105,深圳市宝安区松岗预防保健所;[2]深圳市宝安区疾病预防控制中心;",中华劳动卫生职业病杂志,中毒;苯;职业病;,,2015,33,2
hxykdxxb201502037,11,"ISTIC,PKU",10年间住院妇科恶性肿瘤患者的回顾性分析,,陈美群[1];龚美琴[2];高浩成[2];高雪梅[2];,[1]四川大学华西第二医院妇产科 成都610041;深圳市宝安区妇幼保健院妇产科 深圳518133;[2]四川大学华西第二医院妇产科 成都610041;,四川大学学报（医学版）,妇科恶性肿瘤;发病情况;临床病理特征;,,2015,46,2
zgsyxcyszz201514028,1,"ISTIC,PKU",孟鲁司特钠联合布地奈德治疗小儿咳嗽变异性哮喘疗效研究,10.3969/j.issn.1672-7185.2015.14.027,王维[1];司徒超[2];程郁离[1];,"[1]广东省深圳市宝安区妇幼保健院保健部,518101;[2]广东省深圳市宝安区妇幼保健院儿科;",中国实用乡村医生杂志,布地奈德;孟鲁司特钠;咳嗽变异性哮喘;疗效对比;,R69,2015,,14
zhsyhlcbdx201502019,2,"ISTIC,PKU",深圳某接种点国产轮状病毒疫苗使用现况分析,10.3760/cma.j.issn.1003-9279.2015.02.019,刘娜[1];马智超[2];李苑[2];段招军[1];,"[1]中国疾病预防控制中心病毒病预防控制所, 北京,100052;[2]深圳市宝安区疾病预防控制中心;",中华实验和临床病毒学杂志,轮状病毒疫苗;免疫接种程序表;,,2015,29,2
zhcs201605009,2,"ISTIC,PKU",前侧pilon骨折的诊断和治疗,10.3760/cma.j.issn.1001-8050.2016.05.009,高彦军;张勇;郑杰;高迪;赵廷虎;王仕波;郑伟浩;,,中华创伤杂志,"胫骨骨折;踝损伤;骨折固定术,内;",,2016,32,5
syyfyx201507030,11,"ISTIC,PKU",2005-2013年全国职业病发病情况分析,10.3969/j.issn.1006-3110.2015.07.030,钟学飘[1];朱志良[2];马争[3];丁燕[4];,"[1]深圳市龙华新区疾病预防控制中心职业卫生科,广东 深圳,518109;[2]深圳市宝安区疾病预防控制中心;[3]东莞市职业病防治中心;[4]江苏省泰洁检测技术服务有限公司;",实用预防医学,职业病;发病;尘肺病;噪声聋;职业性肿瘤;,R135.2,2015,22,7
zgcqzdzz201504009,0,"ISTIC,PKU",肌萎缩侧索硬化家系致病基因 S O D1 的突变检测,10.13470/j.cnki.cjpd.2015.04.007,马竞[1];刘飞[2];麦光兴[3];梁卉[3];熊礼宽[3];马端[2];,"[1]深圳市宝安区妇幼保健院 ,广东深圳 518000;复旦大学出生缺陷研究中心,上海 200032;[2]复旦大学出生缺陷研究中心,上海,200032;[3]深圳市宝安区妇幼保健院 ,广东深圳,518000;",中国产前诊断杂志（电子版）,肌萎缩侧索硬化;SOD1;错义突变;,R714.55,2015,7,4
rdyxzz201409032,2,"ISTIC,PKU",一起副溶血性弧菌食物中毒的现场流行病学调查分析,,陈兵[1];黄国[2];吴泰顺[3];熊新平[2];马智超[1];陈亿雄[1];,"[1]深圳市宝安区疾病预防控制中心,广东深圳518101;[2]中国现场流行病学培训项目宝安基地,广东深圳518101;[3]深圳市宝安区疾病预防控制中心,广东深圳518101;中国现场流行病学培训项目宝安基地,广东深圳518101;",热带医学杂志,食物中毒;副溶血性弧菌;病例对照研究;回顾性队列研究;,R155.31,2014,14,9
zhldwszyb201508027,1,"ISTIC,PKU",铟化合物职业暴露的流行病学研究,10.3760/cma.j.issn.1001-9391.2015.08.027,彭巨成;冯晶;吴礼康;,,中华劳动卫生职业病杂志,@@;,,2015,33,8
zhldwszyb201508025,1,"ISTIC,PKU",工作场所空气中铟及其化合物测定的电感耦合等离子体质谱法,10.3760/cma.j.issn.1001-9391.2015.08.025,徐小作[1];尹江伟[1];何俊涛[2];易娟[2];吴礼康[1];,"[1]518101,深圳市宝安区疾病预防控制中心;[2]深圳市职业病防治院;",中华劳动卫生职业病杂志,电感耦合等离子体质谱法;铟;工作场所;,,2015,33,8
zhldwszyb201508024,1,"ISTIC,PKU",尿中铟测定的电感耦合等离子体质谱法,10.3760/cma.j.issn.1001-9391.2015.08.024,林怡然[1];何俊涛[1];徐小作[2];尹江伟[2];张镏琢[1];林大枫[1];李智民[1];易娟[1];,"[1]518001,深圳市职业病防治院;[2]深圳市宝安区疾病预防控制中心;",中华劳动卫生职业病杂志,"光谱分析,质量;铟;尿;",,2015,33,8
zhldwszyb201604015,0,"ISTIC,PKU",职业接触1-溴丙烷致周围神经损伤4例,10.3760/cma.j.issn.1001-9391.2016.04.015,余新天[1];缪荣明[2];张健杰[3];边寰锋[1];张素丽[1];朱志良[4];贺锋[1];吴长龙[1];,"[1]518100,深圳市宝安区沙井预防保健所;[2]无锡市第八人民医院;[3]深圳市职业病防治院;[4]深圳市宝安区疾病预防控制中心;",中华劳动卫生职业病杂志,@@;,,2016,34,4
zgyxwz-ekxfc201505021,0,"ISTIC,PKU",止喘灵口服液联合硫酸镁佐治小儿喘息性支气管肺炎的疗效观察,10.3969/j.issn.1674-3865.2015.05.021,刘晓娟[1];钟文明[2];罗光亮[3];,"[1]深圳市宝安区妇幼保健院中医科,广东深圳,518133;[2]深圳市宝安区妇幼保健院信息科,广东深圳,518133;[3]深圳市福田区中医院儿科,广东深圳,518034;",中国中西医结合儿科学,肺炎;止喘灵口服液/治疗应用;硫酸镁/治疗应用;儿童;,R563.1,2015,7,5
zgjkjy201604022,0,"ISTIC,PKU",健康教育人员培训模式研究,10.16168/j.cnki.issn.1002-9982.2016.04.022,鲜敏;周指明;吴礼康;吴泰顺;,,中国健康教育,健康教育;人员培训;模式;,R193,2016,32,4
zlfzyj201405022,0,"ISTIC,PKU",淋巴结转移乳腺癌患者中RARβ基因甲基化的预后判断价值,10.3971/j.issn.1000-8578.2014.05.022,李少英[1];李荣[2];麦慧芬[3];王维[3];吴华聪[3];陈静[3];罗荣城[2];,"[1]510515广州,广州南方医科大学南方医院肿瘤科;深圳市宝安区妇幼保健院乳腺科;[2]510515广州,广州南方医科大学南方医院肿瘤科;[3]深圳市宝安区妇幼保健院乳腺科;",肿瘤防治研究,视黄醇受体β(RARβ);甲基化;乳腺癌;预后;,R737.9  R730.7,2014,41,5
zhldwszyb201404009,2,"ISTIC,PKU",中小企业农民工个人防护用品使用分析,10.3760/cma.j.issn.1001-9391.2014.04.009,曾智[1];陆丽明[1];饶展宏[2];韩璐[1];石景容[1];凌莉[1];,"[1]510080广州,中山大学公共卫生学院医学统计与流行病学系,中山大学流动人口卫生政策研究中心;[2]深圳市宝安区疾病预防控制中心;",中华劳动卫生职业病杂志,中小企业;农民工;个人防护用品;职业健康;,,2014,32,4
jyyxylc201502011,0,"ISTIC,PKU",16SrDNA测序技术在婴儿肠道微生态研究中的应用,10.3969/j.issn.1672-9455.2015.02.011,马丽亚[1];王辉林[2];陈睿[1];张敏[1];黄艳[1];卢光进[1];,[1]深圳市宝安区妇幼保健院 新生儿科 518133;[2]深圳市宝安区妇幼保健院 中心实验室 518133;,检验医学与临床,肠道菌群;测序;宏基因组;婴儿;,,2015,,2
